"","BLCA","BRCA","COAD","HNSC","KICH","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"Multipotent progenitors",-0.48421052631579,-0.0751996892421484,0.313535447834274,0.219319162089151,0.276762506907115,0.323214628786,0.293831913982672,-0.0868670762936846,-0.0257323833381811,0.217961398622711,-0.169563171373869,0.280296227039784,-0.109077805116571,-0.413708002734999
"Mesenchymal stem cells",-0.492982456140351,-0.00653388728925094,-0.315679442508711,0.470700658714286,-0.139130434782609,-0.203936580001497,-0.140395894428153,-0.456902761104442,0.151724137931035,0.334285714285714,0.443951165371809,0.0509454949944383,-0.333661447599126,-0.0705815923207228
"Microvascular endothelial cells",-0.435087719298246,-0.731570984348153,-0.254878048780488,-0.626074700493305,-0.0860869565217391,-0.0870795549553026,0.0872434017595308,-0.260216086434574,-0.179719462302747,-0.0374489795918367,-0.429095876376675,-0.342825361512792,-0.365098895690424,-0.412761151891587
"Myocytes",-0.697716367500882,-0.462037783466978,-0.482989818788714,-0.55387765366373,0.0939130434782609,-0.192649044954659,0.115102639296188,0.146890756302521,-0.0059614260666277,-0.0742857142857143,-0.0828139673866644,-0.83863368331533,-0.0622606395324116,-0.315640880858272
"naive B-cells",0.267079144355835,-0.0289593083410892,0.334052572929572,-0.291568012985626,-0.127004234016582,-0.167653990630028,-0.283645622122509,-0.0641210759254054,0.135638366153492,-0.271584992304986,0.0619482561735085,0.142719287943968,-0.0560845763283909,-0.302404413333514
"Neurons",-0.598245614035088,0.00662130467482069,-0.403310104529617,-0.257364341085271,0.507826086956522,0.598462923660686,0.519794721407625,-0.384489795918367,-0.186732904734074,-0.202857142857143,-0.212840433706138,-0.580867630700779,0.105355440031991,-0.719932241671372
"Neutrophils",-0.349031528237438,-0.535510557832929,0.29390243902439,-0.328304567451964,-0.0839586959442021,-0.302171613226655,-0.24130476223769,0.474063414246888,0.132203389830508,0.345510204081633,-0.0323139776584199,-0.0572000946943853,-0.156350156549326,-0.283430018771411
"NK cells",-0.123307251865302,-0.14924152472974,0.0689237614105189,-0.016804058128221,0.312139600120641,-0.0407026328084278,-0.168668433542347,0.032054166037214,-0.139780964087155,0.205767574010918,-0.0225921321068131,-0.252262638389633,-0.0254839294801613,0.414471931215933
"NKT",-0.528070175438596,-0.113793276321039,0.0402439024390244,-0.308668076109937,-0.468194374565547,0.0410473979076535,-0.024940131370984,-0.387504203871626,-0.040385739333723,-0.174897959183673,-0.577648766328012,-0.187986651835373,-0.112614968162663,-0.250141163184641
"Osteoblast",0.0557730792544359,-0.0221345796197366,-0.0189895470383275,-0.277567965968574,0.468695652173913,0.453566145732845,0.173387096774194,0.14943648054376,0.0372717342175024,-0.10321157421346,0.228537944254533,0.0215889885877639,-0.288201547321721,0.633863368340247
"pDC",0.203301869540363,-0.0286965937054495,0.325783972125436,-0.56318772819835,-0.267060107311877,-0.593704664575919,-0.525531062301398,0.0593037214885954,-0.209760374050263,-0.339489795918367,0.580979060471605,0.800089002614727,0.177136941826361,-0.432176970839184
"Pericytes",-0.171856644710192,-0.104624558398236,-0.251964687950532,-0.18351458042591,-0.0157206739073326,0.134818995211857,0.0161349479128602,-0.191452581032413,-0.166110841581937,-0.00488269341889915,-0.317794448388757,-0.509550826883067,-0.0632008835679387,-0.422272740200236
